IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_1ac1b13a	1	1515	325	197	443	1392	933	1407
simvarmass_CY5L_1c94f091	1	1790	514	197	150	1674	1024	1695
simvarmass_CY5L_1c9c6a5f	1	706	56	174	654	681	455	679
simvarmass_CY5L_1d398611	1	1100	132	198	957	1053	821	1066
simvarmass_CY5L_1dc6dcaa	1	367	22	161	327	349	258	345
simvarmass_CY5L_1e495a5d	1	77	37	196	67	70	61	75
simvarmass_CY5L_1f0383ed	1	643	33	161	583	617	496	608
simvarmass_CY5L_1f2b45f8	1	1357	467	108	325	1251	1042	1245
simvarmass_CY5L_1f939cf0	1	1747	135	181	1518	1640	1365	1633
simvarmass_CY5L_201f7a2d	1	422	25	123	399	414	347	410
simvarmass_CY5L_22977c18	1	716	28	118	671	685	460	682
simvarmass_CY5L_22d33ae7	1	1592	620	283	145	1503	1261	2824
simvarmass_CY5L_237f4c72	1	2510	400	138	640	2283	1718	2271
simvarmass_CY5L_2554166f	1	363	23	89	324	337	203	336
simvarmass_CY5L_258ca893	1	2390	46	190	2059	2128	1341	2137
simvarmass_CY5L_25a36c92	1	1200	103	121	1009	1126	798	1124
simvarmass_CY5L_26f50e87	1	85	30	460	80	87	66	10857
simvarmass_CY5L_28d950c6	1	2052	340	183	1105	1890	1572	1889
simvarmass_CY5L_2c4ec817	1	2084	580	189	153	1906	1317	1911
simvarmass_CY5L_2cbc3d23	1	206	27	328	200	215	176	3274
simvarmass_CY5L_2ee74e9f	1	455	27	294	414	449	296	1815
simvarmass_CY5L_30cb6637	1	2077	71	148	1856	1937	1767	1920
simvarmass_CY5L_32a3aeb6	1	2161	367	144	581	1983	1352	1951
simvarmass_CY5L_33842744	1	2381	395	176	772	2186	1826	2181
simvarmass_CY5L_340e180a	1	2205	486	7	427	17005	1594	1998
simvarmass_CY5L_3411b650	1	1251	152	116	1125	1187	1066	1179
