GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
64	CTT1	CTT1	0.2	1	1	702	Big-FISH	Variable	TRUE	0.808431048126032	0.0617332455329727	0.807852343656486	7.09401601708528e-163	0.780513323985263	0.832107148260697	0.790433843647238	3.79139447351525e-151
65	CTT1	CTT1	0.2	1	20	1251	NeuertLab	Fixed	FALSE	0.715242011440759	1.68461909802682	0.978717195477105	0	0.976249286961107	0.980931140905413	0.98973451483637	0
66	CTT1	CTT1	0.2	1	20	1251	NeuertLab	Fixed	TRUE	0.740877268973192	1.56852185273345	0.982798940720681	0	0.980799749945113	0.984591588696833	0.991446242942241	0
67	CTT1	CTT1	0.2	1	20	1251	NeuertLab	Variable	FALSE	0.6584557579743	1.42388602264237	0.95401985576076	0	0.948762254297083	0.958749384606377	0.970331278675042	0
68	CTT1	CTT1	0.2	1	20	1251	NeuertLab	Variable	TRUE	0.67792176440809	1.28375921104256	0.947794838424301	0	0.941846620900704	0.95314932171497	0.963706677407013	0
69	CTT1	CTT1	0.2	1	20	1251	Big-FISH	Fixed	FALSE	0.481139873927085	1.04761552311698	0.947909791786535	0	0.94197428177743	0.953252767720283	0.953261793435813	0
70	CTT1	CTT1	0.2	1	20	1251	Big-FISH	Fixed	TRUE	0.681633201073917	0.725144558798024	0.977070457346147	0	0.974414065717284	0.979453926118601	0.981645661050014	0
71	CTT1	CTT1	0.2	1	20	1251	Big-FISH	Variable	FALSE	0.610965555281723	1.96946465296741	0.96082901689042	0	0.956332609635287	0.964870745368207	0.965898515859967	0
72	CTT1	CTT1	0.2	1	20	1251	Big-FISH	Variable	TRUE	0.737946776149266	1.85467491224286	0.97761363164503	0	0.975019371764571	0.979941211647092	0.979414887962106	0
73	CTT1	CTT1	0.2	1	25	613	NeuertLab	Fixed	FALSE	0.820798952918132	0.881591012582801	0.984088509231801	0	0.981377187363632	0.986407793823857	0.991953182542233	0
