IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R2_2m_I1_CTT1	1	2	2	1	2	137	177	100	41342
sctc_E1R2_2m_I2_STL1	1	2	2	2	1	80	210	231	322
sctc_E1R2_2m_I2_CTT1	1	2	2	2	2	153	145	124	48408
sctc_E1R2_2m_I3_STL1	1	2	2	3	1	81	153	232	182
sctc_E1R2_2m_I3_CTT1	1	2	2	3	2	132	137	114	45374
sctc_E1R2_2m_I4_STL1	1	2	2	4	1	87	148	248	207
sctc_E1R2_2m_I4_CTT1	1	2	2	4	2	147	134	103	59507
sctc_E1R2_30m_I1_STL1	1	2	30	1	1	92	1220	137	1341
sctc_E1R2_30m_I1_CTT1	1	2	30	1	2	140	125	134	32135
sctc_E1R2_30m_I2_STL1	1	2	30	2	1	68	886	201	784
sctc_E1R2_30m_I2_CTT1	1	2	30	2	2	109	399	119	33440
sctc_E1R2_30m_I3_STL1	1	2	30	3	1	71	576	149	624
sctc_E1R2_30m_I3_CTT1	1	2	30	3	2	134	121	128	30397
sctc_E1R2_30m_I4_STL1	1	2	30	4	1	68	553	159	574
sctc_E1R2_30m_I4_CTT1	1	2	30	4	2	118	126	81	56891
sctc_E1R2_30m_I7_STL1	1	2	30	7	1	64	703	149	635
sctc_E1R2_30m_I7_CTT1	1	2	30	7	2	120	137	114	28734
sctc_E1R2_35m_I1_STL1	1	2	35	1	1	80	3238	178	3059
sctc_E1R2_35m_I1_CTT1	1	2	35	1	2	168	81	137	39305
sctc_E1R2_35m_I2_STL1	1	2	35	2	1	80	2955	176	3015
sctc_E1R2_35m_I2_CTT1	1	2	35	2	2	163	98	120	46665
sctc_E1R2_35m_I3_STL1	1	2	35	3	1	71	1956	178	1938
sctc_E1R2_35m_I3_CTT1	1	2	35	3	2	152	92	601	155
sctc_E1R2_35m_I4_STL1	1	2	35	4	1	70	1938	147	2290
sctc_E1R2_35m_I4_CTT1	1	2	35	4	2	158	72	107	40849
sctc_E1R2_40m_I1_STL1	1	2	40	1	1	82	1323	151	1433
sctc_E1R2_40m_I1_CTT1	1	2	40	1	2	134	116	89	45902
sctc_E1R2_40m_I2_STL1	1	2	40	2	1	73	1761	154	1759
sctc_E1R2_40m_I2_CTT1	1	2	40	2	2	136	150	54	51541
