GROUP	N	SPEARMAN_EST	SPEARMAN_P	PEARSON_EST	PEARSON_CI95_LO	PEARSON_CI95_HI	PEARSON_P	LR_SLOPE	LR_YINTR	PERC_25_HB	PERC_50_HB	PERC_75_HB	MEAN_HB	STD_HB	WHISK_LO_HB	WHISK_HI_HB	PERC_25_BF	PERC_50_BF	PERC_75_BF	MEAN_BF	STD_BF	WHISK_LO_BF	WHISK_HI_BF	PERC_25_DB	PERC_50_DB	PERC_75_DB	MEAN_DB	STD_DB	WHISK_LO_DB	WHISK_HI_DB
47	sctc_E1R1C1_50min	397	0.962688568500935	2.49299889160715e-226	0.969144356918787	0.962533768377102	0.974603658639365	2.40053769119262e-242	1.18842599308516	-0.77245358448238	0	2	9	7.43576826196474	12.0495203067562	-13.5	22.5	1	2	9	6.90680100755668	9.82621103612494	-11	21	1	2	9	6.80856423173804	10.0989361978034	-11	21
48	sctc_E1R1C2_50min	397	0.236945524682105	1.80263740019325e-06	0.247762298961459	0.153073124187784	0.337943369186763	5.75625085770792e-07	0.00558189770366122	-0.0876946426249077	0	0	0	0.299748110831234	0.684108899881206	0	0	47	63	88	69.4105793450882	30.36537084214	-14.5	149.5	0	0	0	0.138539042821159	0.442046299522238	0	0
49	sctc_E1R1C1_55min	1107	0.979684574886514	0	0.977240649375155	0.974427229572519	0.979747722192737	0	1.15496635872608	-0.503526712545994	1	4	14	9.75971093044264	12.9425662406207	-18.5	33.5	1	5	13	8.88617886178862	10.9509699066177	-17	31	1	4	12.5	8.7037037037037	10.8409850722655	-16.25	29.75
50	sctc_E1R1C2_55min	1107	0.0631377043610024	0.035692296916127	0.115496894778516	0.0569648816397968	0.17323766720199	0.000117482304740216	0.00221989775099748	0.300608882910972	0	0	1	0.435411020776874	0.773739357351894	-1.5	2.5	30	53	82	60.7244805781391	40.2561303113684	-48	160	0	0	0	0.10840108401084	0.367031823936053	0	0
51	sctc_E1R1C1_6min	672	0.941886175301156	1.26836532600365e-319	0.976610064474978	0.972834519786809	0.979866227183409	0	1.23305618019119	-0.217333870057301	0	1	5	4.75892857142857	8.56455684911461	-7.5	12.5	0	1	5	4.03571428571429	6.78333441004818	-7.5	12.5	0	1	5	4.62202380952381	7.90894474164581	-7.5	12.5
52	sctc_E1R1C2_6min	672	0.927274779420393	4.38567529937663e-288	0.965696064156968	0.960194286915561	0.970448873009322	0	1.58365827062894	0.101657862403204	0	0	3	3.86755952380952	8.09750681925967	-4.5	7.5	0	0	2	2.37797619047619	4.93776379025106	-3	5	0	0	3	3.05505952380952	6.32702466638858	-4.5	7.5
53	sctc_E1R1C1_8min	1191	0.986012386234509	0	0.978804555884426	0.976281881662849	0.981061488082881	0	1.33023624209295	-0.212762817266715	4	14	27	18.2753988245172	17.4453207996583	-30.5	61.5	3	11	20	13.8984047019312	12.8364864354506	-22.5	45.5	3	12	22	14.7413937867338	13.5422261890934	-25.5	50.5
54	sctc_E1R1C2_8min	1191	0.857922376174708	0	0.855129637944655	0.839084224070151	0.869688479975662	0	1.2902741590199	3.63894344691469	1	10	23	14.7758186397985	16.1367877525895	-32	56	0	3	15	8.63140218303946	10.6946615740514	-22.5	37.5	1	7	18	10.9269521410579	11.794908630859	-24.5	43.5
55	sctc_E1R2C1_0min	1619	0.914885328237888	0	0.947369716247359	0.942135049607715	0.952142505541104	0	1.24419026029267	-0.143408560605723	0	0	1	0.593576281655343	2.58508764203737	-1.5	2.5	0	0	1	0.592340951204447	1.96837559661932	-1.5	2.5	0	0	1	0.825200741198271	2.3599893949395	-1.5	2.5
56	sctc_E1R2C2_0min	1619	0.102422017419347	3.646406142452e-05	0.0796926920326707	0.0310960900896845	0.127913408948553	0.00133101485229887	0.00344366543544554	0.352828499309941	0	0	0	0.636812847436689	1.77164278067892	0	0	54	75	101	82.4657195799876	40.999041619815	-16.5	171.5	0	0	0	0.360716491661519	0.977921147446984	0	0
