IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
sctc_E1R1_50m_I1_STL1	Exp	103530625	1	1713356	8.015069	6.233848	0.016549
sctc_E1R1_50m_I1_CTT1	Exp	103530625	5	1413408	8.015069	6.150268	0.013652
sctc_E1R1_50m_I2_STL1	Exp	103530625	1	1461601	8.015069	6.164829	0.014118
sctc_E1R1_50m_I2_CTT1	Exp	103530625	5	1390857	8.015069	6.143282	0.013434
sctc_E1R1_50m_I3_STL1	Exp	103530625	1	1528797	8.015069	6.184350	0.014767
sctc_E1R1_50m_I3_CTT1	Exp	103530625	5	1394563	8.015069	6.144438	0.013470
sctc_E1R1_55m_I1_STL1	Exp	103530625	1	1239430	8.015069	6.093222	0.011972
sctc_E1R1_55m_I1_CTT1	Exp	103530625	5	1334614	8.015069	6.125356	0.012891
sctc_E1R1_55m_I2_STL1	Exp	103530625	1	1055228	8.015069	6.023346	0.010192
sctc_E1R1_55m_I2_CTT1	Exp	103530625	5	1221737	8.015069	6.086978	0.011801
sctc_E1R1_55m_I3_STL1	Exp	103530625	1	1146297	8.015069	6.059297	0.011072
sctc_E1R1_55m_I3_CTT1	Exp	103530625	5	1247326	8.015069	6.095980	0.012048
sctc_E1R1_55m_I4_STL1	Exp	103530625	1	1212902	8.015069	6.083826	0.011715
sctc_E1R1_55m_I4_CTT1	Exp	103530625	5	1317052	8.015069	6.119603	0.012721
sctc_E1R1_6m_I1_STL1	Exp	103530625	1	1933224	8.015069	6.286282	0.018673
sctc_E1R1_6m_I1_CTT1	Exp	103530625	5	1352731	8.015069	6.131211	0.013066
sctc_E1R1_6m_I2_STL1	Exp	103530625	1	2037775	8.015069	6.309156	0.019683
sctc_E1R1_6m_I2_CTT1	Exp	103530625	5	1397875	8.015069	6.145468	0.013502
sctc_E1R1_6m_I3_STL1	Exp	103530625	1	1121206	8.015069	6.049685	0.010830
sctc_E1R1_6m_I3_CTT1	Exp	103530625	5	1243674	8.015069	6.094707	0.012013
sctc_E1R1_6m_I4_STL1	Exp	103530625	1	1175671	8.015069	6.070286	0.011356
sctc_E1R1_6m_I4_CTT1	Exp	103530625	5	1145641	8.015069	6.059049	0.011066
sctc_E1R1_8m_I1_STL1	Exp	103530625	1	703753	8.015069	5.847420	0.006798
sctc_E1R1_8m_I1_CTT1	Exp	103530625	5	804288	8.015069	5.905412	0.007769
sctc_E1R1_8m_I2_STL1	Exp	103530625	1	775127	8.015069	5.889373	0.007487
sctc_E1R1_8m_I2_CTT1	Exp	103530625	5	878834	8.015069	5.943907	0.008489
sctc_E1R1_8m_I3_STL1	Exp	103530625	1	767061	8.015069	5.884830	0.007409
sctc_E1R1_8m_I3_CTT1	Exp	103530625	5	852054	8.015069	5.930467	0.008230
sctc_E1R1_8m_I4_STL1	Exp	103530625	1	699355	8.015069	5.844698	0.006755
sctc_E1R1_8m_I4_CTT1	Exp	103530625	5	814804	8.015069	5.911053	0.007870
sctc_E1R2_0m_I1_STL1	Exp	86965725	10	123353	7.939348	5.091150	0.001418
sctc_E1R2_0m_I1_CTT1	Exp	86965725	10	1051392	7.939348	6.021765	0.012090
sctc_E1R2_0m_I2_STL1	Exp	86965725	10	131776	7.939348	5.119836	0.001515
sctc_E1R2_0m_I2_CTT1	Exp	86965725	10	1068533	7.939348	6.028788	0.012287
sctc_E1R2_0m_I3_STL1	Exp	86965725	10	103673	7.939348	5.015666	0.001192
sctc_E1R2_0m_I3_CTT1	Exp	86965725	10	1172570	7.939348	6.069139	0.013483
sctc_E1R2_0m_I4_STL1	Exp	86965725	10	94749	7.939348	4.976575	0.001089
sctc_E1R2_0m_I4_CTT1	Exp	86965725	10	1221554	7.939348	6.086913	0.014046
sctc_E1R2_10m_I1_STL1	Exp	86965725	10	76572	7.939348	4.884070	0.000880
sctc_E1R2_10m_I1_CTT1	Exp	86965725	10	847933	7.939348	5.928362	0.009750
sctc_E1R2_10m_I2_STL1	Exp	86965725	10	104765	7.939348	5.020216	0.001205
sctc_E1R2_10m_I2_CTT1	Exp	86965725	10	421532	7.939348	5.624831	0.004847
sctc_E1R2_10m_I3_STL1	Exp	86965725	10	87709	7.939348	4.943044	0.001009
sctc_E1R2_10m_I3_CTT1	Exp	86965725	10	660117	7.939348	5.819621	0.007591
sctc_E1R2_10m_I4_STL1	Exp	86965725	10	117728	7.939348	5.070880	0.001354
sctc_E1R2_10m_I4_CTT1	Exp	86965725	10	724641	7.939348	5.860123	0.008332
sctc_E1R2_15m_I1_STL1	Exp	86965725	10	197208	7.939348	5.294925	0.002268
sctc_E1R2_15m_I1_CTT1	Exp	86965725	10	780877	7.939348	5.892583	0.008979
sctc_E1R2_15m_I2_STL1	Exp	86965725	10	173290	7.939348	5.238774	0.001993
sctc_E1R2_15m_I2_CTT1	Exp	86965725	10	893921	7.939348	5.951299	0.010279
sctc_E1R2_15m_I3_STL1	Exp	86965725	10	268727	7.939348	5.429311	0.003090
sctc_E1R2_15m_I3_CTT1	Exp	86965725	10	914560	7.939348	5.961212	0.010516
sctc_E1R2_15m_I4_STL1	Exp	86965725	10	147490	7.939348	5.168763	0.001696
sctc_E1R2_15m_I4_CTT1	Exp	86965725	10	890536	7.939348	5.949651	0.010240
sctc_E1R2_1m_I1_STL1	Exp	86965725	10	121776	7.939348	5.085562	0.001400
sctc_E1R2_1m_I1_CTT1	Exp	86965725	10	1132058	7.939348	6.053869	0.013017
