IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_b1a1efeb	2364	2241	352	915	1748	246	2066	2554
simvarmass_CY5L_b29fff8a	410	381	21	365	312	135	361	361
simvarmass_CY5L_b39363cd	2046	1941	369	572	1480	141	1780	1774
simvarmass_CY5L_b4603be1	207	195	23	198	167	316	198	2187
simvarmass_CY5L_b4d3b176	1872	1769	476	267	1154	324	1672	4506
simvarmass_CY5L_b5fe215d	2382	2260	262	1185	1667	214	2058	2138
simvarmass_CY5L_b6e4ac56	1466	1371	287	595	937	232	1295	1517
simvarmass_CY5L_b7717876	91	89	22	65	44	121	65	65
simvarmass_CY5L_b888945d	1125	1057	42	1032	782	222	1007	1113
simvarmass_CY5L_b901537e	614	584	28	579	427	337	581	3359
simvarmass_CY5L_b95234dd	981	934	37	909	606	468	919	8520
simvarmass_CY5L_b9ca4f72	1441	1362	458	257	1023	225	1269	1398
simvarmass_CY5L_bae90715	805	758	34	711	564	216	704	779
simvarmass_CY5L_bf680c47	584	549	23	533	354	182	527	527
simvarmass_CY5L_bfdb01fb	2142	2018	453	422	1607	79	1858	1843
simvarmass_CY5L_c008c7b4	277	256	20	234	175	88	227	227
simvarmass_CY5L_c10f2b46	166	154	32	134	88	200	131	140
simvarmass_CY5L_c17e08be	47	46	24	23	19	177	29	27
simvarmass_CY5L_c335275c	1196	1142	338	470	917	227	1109	1293
simvarmass_CY5L_c399cc8f	2080	1970	205	1204	1325	176	1783	1776
simvarmass_CY5L_c39aeae8	1657	1558	122	1340	1038	159	1454	1438
simvarmass_CY5L_c611a3c6	1510	1435	283	813	1151	99	1348	1342
simvarmass_CY5L_c618c353	2386	2247	104	1907	1360	127	2015	2007
simvarmass_CY5L_c761edd0	938	888	34	836	701	117	830	827
simvarmass_CY5L_c7c630f9	699	656	30	648	541	223	634	722
simvarmass_CY5L_ca22dc6d	369	353	26	338	241	169	338	335
simvarmass_CY5L_cad0905c	1968	1874	210	1365	1472	128	1728	1725
simvarmass_CY5L_cafb1423	325	299	22	281	192	136	278	277
simvarmass_CY5L_cbaf43a3	663	631	29	618	390	166	605	603
simvarmass_CY5L_cc3478bc	347	329	30	327	218	436	331	6570
simvarmass_CY5L_ccdde8b6	2414	2284	538	230	1699	197	2095	2114
simvarmass_CY5L_cd845f0f	1327	1275	299	787	1105	150	1209	1205
simvarmass_CY5L_ceaa7951	134	129	31	127	103	218	128	170
simvarmass_CY5L_ced48015	2405	2289	325	968	1763	370	2109	6272
simvarmass_CY5L_d0884605	1254	1189	345	481	909	172	1123	1119
simvarmass_CY5L_d0f3ce7f	870	819	38	805	616	194	785	791
simvarmass_CY5L_d20eccaf	657	613	395	165	469	116	597	593
simvarmass_CY5L_d2a6c082	1101	1034	25	987	819	144	965	963
simvarmass_CY5L_d477463f	887	844	26	817	668	160	810	803
simvarmass_CY5L_d4f5fc46	2430	2307	149	1640	1398	140	2025	2015
simvarmass_CY5L_d52169a1	2059	1955	237	1349	1566	139	1793	1786
simvarmass_CY5L_d67250cf	1540	1459	210	801	911	315	1385	3250
simvarmass_CY5L_d7fd035a	524	488	38	487	362	276	483	1265
simvarmass_CY5L_d8102e43	1210	1135	198	821	861	286	1090	1987
simvarmass_CY5L_d96fa1fa	699	665	26	641	397	166	631	627
simvarmass_CY5L_d9d7d7f1	1372	1292	58	1249	897	188	1218	1219
simvarmass_CY5L_d9fc6491	2133	2012	433	666	1622	130	1856	1852
simvarmass_CY5L_daa12408	2079	1952	216	1152	1293	158	1795	1776
simvarmass_CY5L_dcbae292	1614	1524	202	1002	1073	313	1437	3346
simvarmass_CY5L_dcd5f12f	1392	1329	188	1063	1066	383	1273	6530
simvarmass_CY5L_dd038fa8	835	787	28	759	667	167	746	744
simvarmass_CY5L_df41bc25	1359	1285	31	1238	921	325	1232	4291
simvarmass_CY5L_e158d5e9	1562	1474	31	1382	1138	203	1349	1379
simvarmass_CY5L_e2d3c3ee	1126	1071	36	1047	976	168	1022	1022
simvarmass_CY5L_e310b86e	651	606	33	597	435	247	600	977
simvarmass_CY5L_e327cde7	856	808	36	786	593	178	782	778
simvarmass_CY5L_e3dfe44b	660	629	32	613	512	180	610	610
simvarmass_CY5L_e4216685	2422	2303	364	712	1692	111	2047	2042
simvarmass_CY5L_e5434f9d	2197	2090	402	738	1674	123	1923	1910
simvarmass_CY5L_e7479ac8	1290	1228	455	416	1005	133	1166	1159
simvarmass_CY5L_e74aa8b1	72	69	42	63	49	206	62	71
simvarmass_CY5L_e89f6af0	1479	1406	202	1060	1112	139	1314	1306
simvarmass_CY5L_e9a827f8	553	524	23	516	402	182	511	510
simvarmass_CY5L_e9b710b2	793	753	24	725	536	129	711	709
simvarmass_CY5L_ea8843b2	1510	1427	206	836	923	131	1320	1316
simvarmass_CY5L_ec34d5b0	1340	1266	619	168	1032	114	1195	1190
simvarmass_CY5L_ec47a6ad	361	341	24	321	242	172	313	313
simvarmass_CY5L_ec97f39a	2042	1949	440	641	1696	170	1807	1802
simvarmass_CY5L_ef9dfecd	2261	2122	408	487	1378	337	1916	3720
simvarmass_CY5L_efb30c9a	562	534	24	526	397	253	521	899
simvarmass_CY5L_f09f925c	924	861	27	840	680	160	825	822
simvarmass_CY5L_f16c4f04	969	912	359	284	673	117	856	854
simvarmass_CY5L_f3ca3027	918	862	212	503	582	134	823	816
simvarmass_CY5L_f4101ca1	1003	935	431	271	814	141	897	894
simvarmass_CY5L_f57370ec	1764	1667	141	1487	1308	232	1555	1806
simvarmass_CY5L_f597b922	2216	2088	219	1535	1713	216	1951	2039
simvarmass_CY5L_f687367f	263	248	21	221	200	100	217	216
simvarmass_CY5L_f71f2ae3	264	244	36	242	201	224	244	403
simvarmass_CY5L_fa5eacdd	1683	1586	156	1130	960	87	1445	1441
simvarmass_CY5L_fa6ac544	2158	2036	218	1263	1410	119	1835	1821
simvarmass_CY5L_fd058bc6	739	705	26	674	603	189	662	663
simvarmass_CY5L_fe7b94ae	1459	1385	396	438	1124	190	1310	1318
simvarmass_CY5L_fe9feef3	674	634	27	613	430	166	603	596
simvarmass_CY5L_feb64b1c	1412	1336	287	502	888	229	1262	1423
simvarmass_TMRL_00a36523	486	457	124	447	438	767	466	5044
simvarmass_TMRL_035bbb91	1023	983	91	949	945	239	963	932
simvarmass_TMRL_03e9ae6e	2418	2277	115	2111	2108	348	2072	2043
simvarmass_TMRL_0442bcde	1626	1556	139	1459	1459	415	1482	1507
simvarmass_TMRL_051f2b11	1476	1406	85	1359	1345	280	1332	1314
simvarmass_TMRL_0618c3c0	7	7	108	1080	70	304	7485	1341
simvarmass_TMRL_065cc51d	2180	2060	101	1935	1925	561	1955	3354
simvarmass_TMRL_070849ff	859	813	76	781	780	168	782	773
simvarmass_TMRL_072b5701	1335	1267	85	1218	1202	503	1206	1669
simvarmass_TMRL_091ea053	1523	1442	133	1388	1388	142	16313	9466
simvarmass_TMRL_0c7f7779	877	823	96	792	774	311	791	773
simvarmass_TMRL_0d35ae2d	917	873	149	819	828	61	17196	890
simvarmass_TMRL_0d8365fd	1125	1076	146	1024	1034	1007	1093	9681
simvarmass_TMRL_0efde4f6	2482	2336	899	410	2178	209	2146	2120
simvarmass_TMRL_0f8520f7	621	582	148	533	537	547	563	1340
simvarmass_TMRL_11be5298	1093	1040	158	997	1021	517	1020	1638
simvarmass_TMRL_12d1c501	1585	1498	140	1418	1418	62	14512	2438
simvarmass_TMRL_132b0e1d	2193	2076	82	1932	1926	254	1919	1881
simvarmass_TMRL_13951781	169	159	136	153	152	528	144	627
simvarmass_TMRL_144094e6	2370	2236	143	2057	2067	73	14044	3546
simvarmass_TMRL_154fc139	1311	1248	151	1202	1212	827	1258	11525
simvarmass_TMRL_169f172d	1326	1252	185	1192	1276	709	1231	6558
simvarmass_TMRL_17945961	225	215	80	204	204	388	209	207
simvarmass_TMRL_17fcfcf4	2016	1905	172	1756	1805	558	1781	3528
simvarmass_TMRL_19c9fe8a	2323	2212	176	1887	1981	97	13782	6114
simvarmass_TMRL_1f6e6208	1883	1776	96	1686	1680	259	1666	1643
simvarmass_TMRL_1fe9cbf5	1642	1556	90	1475	1471	246	1447	1433
simvarmass_TMRL_20610138	413	393	104	368	366	404	377	377
simvarmass_TMRL_217a84bc	2345	2209	103	2061	2043	486	2061	2626
simvarmass_TMRL_217b8a01	1941	1844	120	1742	1738	547	1804	3405
simvarmass_TMRL_21a3efda	2185	2084	145	1965	1967	327	1967	1902
simvarmass_TMRL_2338f30b	507	471	72	447	445	414	444	457
simvarmass_TMRL_235d3ca8	578	543	109	522	505	572	528	1246
simvarmass_TMRL_23e19e42	978	921	147	867	871	401	903	900
simvarmass_TMRL_23e7c892	2476	2346	159	2136	2155	121	15471	7462
simvarmass_TMRL_24124f4a	669	643	120	2213	1104	139	19580	2449
simvarmass_TMRL_248aabc0	2198	2068	110	1933	1919	433	1897	1974
simvarmass_TMRL_25a8a99e	503	472	180	439	602	175	17666	12467
simvarmass_TMRL_266202bc	1782	1692	147	1532	1546	566	1606	3089
simvarmass_TMRL_273c5723	1795	1713	116	1600	1599	302	1595	1570
simvarmass_TMRL_27986836	154	150	100	145	140	861	153	6193
simvarmass_TMRL_28dc6f47	1431	1349	138	1294	1294	520	1301	2186
simvarmass_TMRL_2c8705eb	127	123	154	106	108	531	128	627
simvarmass_TMRL_2c8cbd79	628	598	83	587	582	335	598	579
simvarmass_TMRL_2db7b5fd	1385	1303	164	1243	1392	194	16107	12342
simvarmass_TMRL_2e3f28f3	351	334	96	928	307	799	365	6713
simvarmass_TMRL_2ebdbaf0	780	739	159	703	725	555	724	1725
simvarmass_TMRL_2ef76c51	365	338	67	338	335	400	344	344
